Comb,growthRate,minProd,maxProd,combList,ACALD,ALCD2x,GLCabcpp,GND,HEX1,LDH_D,PFL,PFK,PYK,TKT2
"HEX1, LDH_D, TKT2",0.23958557058154,0.079413968172244,0.079422550848501,"['HEX1', 'LDH_D', 'TKT2']",0,0,0,0,1,1,0,0,0,1
"HEX1, PFL, PFK",0.18921405643179,0.0627176292963356,0.0627477816817193,"['HEX1', 'PFL', 'PFK']",0,0,0,0,1,0,1,1,0,0
"HEX1, PFL, PYK",0.189214056431962,0.0627176292962829,0.0627477817274306,"['HEX1', 'PFL', 'PYK']",0,0,0,0,1,0,1,0,1,0
"HEX1, PFL, TKT2",0.183109211168103,0.0606941078690406,1.41479565550866,"['HEX1', 'PFL', 'TKT2']",0,0,0,0,1,0,1,0,0,1
"HEX1, PFK, PYK",0.241501557096942,0.0800490531962685,0.0800559410506481,"['HEX1', 'PFK', 'PYK']",0,0,0,0,1,0,0,1,1,0
"HEX1, PFK, TKT2",0.239585570581802,0.079413968172367,0.0794225508197521,"['HEX1', 'PFK', 'TKT2']",0,0,0,0,1,0,0,1,0,1
"HEX1, PYK, TKT2",0.239585570581857,0.0794139681723624,0.0794225508462232,"['HEX1', 'PYK', 'TKT2']",0,0,0,0,1,0,0,0,1,1
"LDH_D, PFL, PFK",0.18921405643167,0.0627176292963228,0.0627477816724406,"['LDH_D', 'PFL', 'PFK']",0,0,0,0,0,1,1,1,0,0
"LDH_D, PFL, PYK",0.189214056431747,0.0627176292963229,0.0627477816884013,"['LDH_D', 'PFL', 'PYK']",0,0,0,0,0,1,1,0,1,0
"LDH_D, PFL, TKT2",0.183109211168406,0.0606941078690713,1.4147956554735,"['LDH_D', 'PFL', 'TKT2']",0,0,0,0,0,1,1,0,0,1
"LDH_D, PFK, PYK",0.241501557097465,0.080049053196284,0.0800559410790298,"['LDH_D', 'PFK', 'PYK']",0,0,0,0,0,1,0,1,1,0
"LDH_D, PFK, TKT2",0.23958557058177,0.079413968172244,0.0794225508595842,"['LDH_D', 'PFK', 'TKT2']",0,0,0,0,0,1,0,1,0,1
