comb
"('PFL',)"
"('RPI',)"
"('TKT2',)"
"('RPE',)"
"('TALA',)"
"('ALCD2x',)"
"('LDH_D',)"
"('ACALD',)"
"('TKT1',)"
"('ACONTa',)"
"('PFL', 'RPI')"
"('PFL', 'TKT2')"
"('PFL', 'RPE')"
"('PFL', 'RPI', 'TALA', 'LDH_D', 'ACALD')"
"('PFL', 'RPI', 'TALA', 'LDH_D', 'TKT1')"
"('PFL', 'RPI', 'TALA', 'LDH_D', 'ACONTa')"
"('PFL', 'RPI', 'TALA', 'ACALD', 'TKT1')"
"('PFL', 'RPI', 'TALA', 'ACALD', 'ACONTa')"
"('PFL', 'RPI', 'TALA', 'TKT1', 'ACONTa')"
"('PFL', 'RPI', 'ALCD2x', 'LDH_D', 'ACALD')"
"('PFL', 'RPI', 'ALCD2x', 'LDH_D', 'TKT1')"
"('PFL', 'RPI', 'ALCD2x', 'LDH_D', 'ACONTa')"
"('PFL', 'RPI', 'ALCD2x', 'ACALD', 'TKT1')"
"('PFL', 'RPI', 'ALCD2x', 'ACALD', 'ACONTa')"
"('PFL', 'RPI', 'ALCD2x', 'TKT1', 'ACONTa')"
"('PFL', 'RPI', 'LDH_D', 'ACALD', 'TKT1')"
"('PFL', 'RPI', 'LDH_D', 'ACALD', 'ACONTa')"
"('PFL', 'RPI', 'LDH_D', 'TKT1', 'ACONTa')"
"('PFL', 'RPI', 'ACALD', 'TKT1', 'ACONTa')"
"('PFL', 'TKT2', 'RPE', 'TALA', 'ALCD2x')"
"('PFL', 'TKT2', 'RPE', 'TALA', 'LDH_D')"
"('PFL', 'TKT2', 'RPE', 'TALA', 'ACALD')"
"('PFL', 'TKT2', 'RPE', 'TALA', 'TKT1')"
"('PFL', 'TKT2', 'RPE', 'TALA', 'ACONTa')"
"('PFL', 'TKT2', 'RPE', 'ALCD2x', 'LDH_D')"
"('PFL', 'TKT2', 'RPE', 'ALCD2x', 'ACALD')"
"('PFL', 'TKT2', 'RPE', 'ALCD2x', 'TKT1')"
"('PFL', 'TKT2', 'RPE', 'ALCD2x', 'ACONTa')"
"('PFL', 'TKT2', 'RPE', 'LDH_D', 'ACALD')"
"('PFL', 'TKT2', 'RPE', 'LDH_D', 'TKT1')"
"('PFL', 'TKT2', 'RPE', 'LDH_D', 'ACONTa')"
"('PFL', 'TKT2', 'RPE', 'ACALD', 'TKT1')"
"('PFL', 'TKT2', 'RPE', 'ACALD', 'ACONTa')"
"('PFL', 'TKT2', 'RPE', 'TKT1', 'ACONTa')"
"('PFL', 'TKT2', 'TALA', 'ALCD2x', 'LDH_D')"
"('PFL', 'TKT2', 'TALA', 'ALCD2x', 'ACALD')"
"('PFL', 'TKT2', 'TALA', 'ALCD2x', 'TKT1')"
"('PFL', 'TKT2', 'TALA', 'ALCD2x', 'ACONTa')"
"('PFL', 'TKT2', 'TALA', 'LDH_D', 'ACALD')"
"('PFL', 'TKT2', 'TALA', 'LDH_D', 'TKT1')"
"('PFL', 'TKT2', 'TALA', 'LDH_D', 'ACONTa')"
"('PFL', 'TKT2', 'TALA', 'ACALD', 'TKT1')"
"('PFL', 'TKT2', 'TALA', 'ACALD', 'ACONTa')"
"('PFL', 'TKT2', 'TALA', 'TKT1', 'ACONTa')"
"('PFL', 'TKT2', 'ALCD2x', 'LDH_D', 'ACALD')"
"('PFL', 'TKT2', 'ALCD2x', 'LDH_D', 'TKT1')"
"('PFL', 'TKT2', 'ALCD2x', 'LDH_D', 'ACONTa')"
"('PFL', 'TKT2', 'ALCD2x', 'ACALD', 'TKT1')"
"('PFL', 'TKT2', 'ALCD2x', 'ACALD', 'ACONTa')"
"('PFL', 'TKT2', 'ALCD2x', 'TKT1', 'ACONTa')"
"('PFL', 'TKT2', 'LDH_D', 'ACALD', 'TKT1')"
"('PFL', 'TKT2', 'LDH_D', 'ACALD', 'ACONTa')"
